feature,importance
Perimeter,0.11180782123578806
ShapeFactor1,0.10405726618884731
Compactness,0.10320901196913154
ShapeFactor3,0.09592124574357552
MinorAxisLength,0.08160810419786672
EquivDiameter,0.06554899813228021
Eccentricity,0.062356353240714334
Roundness,0.06011375553353809
MajorAxisLength,0.058321957202691774
AspectRatio,0.058139738405993506
ConvexArea,0.05760632499743397
Area,0.057349337906333314
ShapeFactor4,0.032024259616846365
ShapeFactor2,0.024954985917323556
Solidity,0.017583338006598705
Extent,0.009397501705036953
